Transaction_ID|Transaction_DateTime|Amount|Vendor_Customer|Payment_Method|Location|flag_duplicate|flag_large_amount|flag_time_anomaly|risk_score|risk_level
TX100115|2025-10-03 20:18:00|64.32|SUNRISE MOTEL|ACH|Fort McMurray, AB|0|0|0|0|LOW RISK
TXB300011|2025-10-15 13:23:00|63.23|PRAIRIE FUEL|E-Transfer|Edmonton, AB|0|0|0|0|LOW RISK
TX100292|2025-10-07 10:59:00|82.2|ALBERTA OFFICE MART|ACH|Fort McMurray, AB|1|0|0|1|MEDIUM RISK
TXB300009|2025-10-15 13:52:00|58.39|PRAIRIE FUEL|Card|Edmonton, AB|0|0|0|0|LOW RISK
TX100255|2025-10-06 21:53:00|40.35|ALBERTA OFFICE MART|Cash|Edmonton, AB|0|0|0|0|LOW RISK
TX100206|2025-10-05 21:28:00|22.91|SUNRISE MOTEL|E-Transfer|Edmonton, AB|0|0|0|0|LOW RISK
TX100244|2025-10-06 10:41:00|78.75|SKYLINE LOGISTICS|Wire|Edmonton, AB|0|0|0|0|LOW RISK
TX100334|2025-10-08 07:29:00|117.83|PARKLAND HARDWARE|Wire|Calgary, AB|0|0|0|0|LOW RISK
TX100028|2025-10-02 04:13:00|55.14|PARKLAND HARDWARE|E-Transfer|Fort McMurray, AB|0|0|1|1|MEDIUM RISK
TX100200|2025-10-05 13:24:00|44.71|SUNRISE MOTEL|Card|Fort McMurray, AB|0|0|0|0|LOW RISK
TX100065|2025-10-02 19:47:00|38.89|EDMONTON ELECTRICAL|ACH|Edmonton, AB|0|0|0|0|LOW RISK
TX100245|2025-10-06 11:09:00|53.38|EDMONTON ELECTRICAL|Card|Fort McMurray, AB|0|0|0|0|LOW RISK
TX100177|2025-10-05 01:21:00|88.09|SKYLINE LOGISTICS|Card|Saskatoon, SK|0|0|1|1|MEDIUM RISK
TX100014|2025-10-01 15:27:00|18.53|MAPLE PHARMACY|E-Transfer|Edmonton, AB|0|0|0|0|LOW RISK
TX100098|2025-10-03 09:44:00|90.44|ALBERTA OFFICE MART|Cash|Edmonton, AB|0|0|0|0|LOW RISK
TX100057|2025-10-02 15:32:00|77.6|NORTHSTAR SUPPLY|Wire|Saskatoon, SK|0|0|0|0|LOW RISK
